name,address,rating,reviews,price,cuisines,lon,lat,zone,subzone
Big Bern's American Grill,978 Toa Payoh North #02-01 Singapore 359941 Singapore,4.5,4,$,['American (Traditional)'],103.85096,1.34274,TOA PAYOH,BRADDELL
Hot Tomato Cafe &amp; Grill,313 Orchard Road #B3-35/36 Singapore 238895 Singapore,3.5,5,$,['American (Traditional)'],103.8389748,1.300760316,ORCHARD,SOMERSET
Dan Ryan's Chicago Grill,"91, Tanglin Rd #01-01 Singapore 247918 Singapore",2.5,10,$$$,['American (Traditional)'],103.825058,1.30528,ORCHARD,TANGLIN
Bobby's Restaurant and Bar,30 Victoria St #B1-07 Chijmes Singapore 187996 Singapore,3.0,6,$$$,"['Bars', 'American (Traditional)']",103.852253,1.295039,DOWNTOWN CORE,CITY HALL
The American Taproom,261 Waterloo St #01-23 Singapore 180261 Singapore,4.5,2,,"['Beer Bar', 'American (Traditional)']",103.85194,1.29885,ROCHOR,VICTORIA
Beyond Pancakes,6 Raffles Boulevard #03-131A Singapore 039594 Singapore,3.5,5,$$,"['American (Traditional)', 'Modern European', 'French']",103.8578,1.29122,DOWNTOWN CORE,MARINA CENTRE
Morganfield's,3 Temasek Boulevard #01-645 Singapore 038983 Singapore,3.0,5,$$,"['Barbeque', 'Bars', 'American (Traditional)']",103.8598169,1.294325864,DOWNTOWN CORE,MARINA CENTRE
Bunnies,32 New Market Rd #01-66 People's Park Complex Food Center Singapore 050032 Singapore,4.5,2,,"['Desserts', 'American (Traditional)']",103.8425522,1.28491,OUTRAM,PEARL'S HILL
Nando's,"163 Tanglin Road #01-14/15, Tanglin Mall Singapore 247933 Singapore",3.5,4,,"['Burgers', 'Fast Food', 'American (Traditional)']",103.8509491,1.284899814,DOWNTOWN CORE,RAFFLES PLACE
Platypus Lobster Shack,"3 Pickering Street #01-31, Nankin Row Singapore 048893 Singapore",3.5,3,$$$,['American (Traditional)'],103.8476563,1.28491,OUTRAM,CHINA SQUARE
OverEasy,541 Orchard Rd #01-01 Liat Towers Singapore 238881 Singapore,3.0,8,$$,"['American (Traditional)', 'Diners']",103.8305986,1.3051862,ORCHARD,BOULEVARD
Cuba Libre,3B River Valley Rd #01-13 Clarke Quay - The Foundry Singapore 179021 Singapore,2.5,9,$$,['American (Traditional)'],103.8454666,1.29037,SINGAPORE RIVER,CLARKE QUAY
Astons Specialities,119 East Coast Rd Singapore 428806 Singapore,3.0,6,$$,['American (Traditional)'],103.9045715,1.3059601,MARINE PARADE,KATONG
Street 50 Restaurant &amp; Bar,50 Telok Blangah Road Singapore 098828 Singapore,3.5,3,$$$$,"['American (Traditional)', 'Italian', 'Asian Fusion']",103.8237682,1.26616822,BUKIT MERAH,MARITIME SQUARE
Alps Caf'e,38 Prinsep St #01-01 Singapore 188665 Singapore,3.5,3,,"['Seafood Markets', 'American (Traditional)']",103.849678,1.2992899,ROCHOR,BENCOOLEN
O'Coffee Club,"Wheelock Place, 501 Orchard Road #01-K2 Singapore 238880 Singapore",2.5,6,$$,"['American (Traditional)', 'Coffee &amp; Tea', 'Cafes']",103.8305664,1.30457,ORCHARD,BOULEVARD
Paddington House Of Pancakes,180 Kitchener Road Citysquare Mall Singapore 208539 Singapore,3.0,4,,"['Creperies', 'Desserts', 'American (Traditional)']",103.856105,1.311550941,KALLANG,LAVENDER
Molly Roffey's Irish Pub,51 Bras Basah Road #01-02A Manulife Centre Singapore 189554 Singapore,2.5,7,$$,"['Pubs', 'American (Traditional)']",103.849543,1.296457861,MUSEUM,BRAS BASAH
Popeye's Lousiana Kitchen,"Square 2 10 Sinaran Drive, #01-04/05/06 Singapore 307506 Singapore",4.0,2,,"['Fast Food', 'American (Traditional)']",103.8443909,1.3211,NOVENA,MOULMEIN
Astons Specialities,295 Lorong 6 Toa Payoh Singapore 319388 Singapore,4.0,2,$$,['American (Traditional)'],103.8546982,1.33067,TOA PAYOH,TOA PAYOH CENTRAL
Yellow Cab Pizza Co. Singapore,1 Raffles Link B1-01/02 Singapore 039393 Singapore,4.0,2,$$,"['American (Traditional)', 'Pizza']",103.85577,1.29222,DOWNTOWN CORE,MARINA CENTRE
Starbucks,"38 Irrawaddy Road Unit 01-14, Mount Elizabeth Novena Hospital Singapore 329563 Singapore",5.0,1,$,"['Coffee &amp; Tea', 'American (Traditional)']",103.8445705,1.322356473,NOVENA,BALESTIER
Sedap Corner,282 Bedok Road Singapore 469438 Singapore,3.5,3,,['American (Traditional)'],103.9483414,1.33187,BEDOK,BEDOK NORTH
The Burning Oak,"348 Bedok Rd #02-16, Simpang Bedok Singapore 469560 Singapore",3.5,3,$,"['American (Traditional)', 'Asian Fusion']",103.948374,1.331509504,BEDOK,BEDOK NORTH
Molly Roffey's Irish Pub,8 Raffles Avenue #01-13E Esplanade Mall Singapore 039802 Singapore,4.0,2,$$,"['Pubs', 'Irish', 'American (Traditional)']",103.856163,1.291127591,DOWNTOWN CORE,MARINA CENTRE
Morganfield's,181 Orchard Rd #11-03/04 Singapore 238896 Singapore,5.0,1,,"['American (Traditional)', 'Bars', 'Barbeque']",103.83969,1.30076,ORCHARD,SOMERSET
BJ's American Diner,312 Balestier Road Singapore 329743 Singapore,3.5,3,$$,['American (Traditional)'],103.8523178,1.32348,NOVENA,BALESTIER
Keong Saik Snacks,49 Keong Saik Road Singapore 089153 Singapore,2.5,7,$$,"['British', 'American (Traditional)']",103.8414764,1.28054,OUTRAM,CHINATOWN
The Rotisserie,63 Chulia St Singapore 049514 Singapore,5.0,1,,['American (Traditional)'],103.8497009,1.285006046,DOWNTOWN CORE,PHILLIP
Artease,8 Grange Road #01-03 Singapore 239695 Singapore,3.5,3,,"['American (Traditional)', 'Bubble Tea']",103.8363724,1.30152,ORCHARD,SOMERSET
Seattle Pike Chowder,1 Marine Parade Central #01-05 Singapore 449408 Singapore,4.0,2,,"['Soup', 'American (Traditional)']",103.9059677,1.30189,MARINE PARADE,MARINE PARADE
Joan Bowen The Special Culinary Centre,9 Jln Wangi Singapore 349354 Singapore,5.0,1,,"['American (Traditional)', 'Desserts', 'Coffee &amp; Tea']",103.8741913,1.33026,TOA PAYOH,SENNETT
Chops Grill and Sides,"727 Ang Mo Kio Ave 6 #01-4236, Broadway Coffee Shop Singapore 560727 Singapore",3.5,3,$,"['Breakfast &amp; Brunch', 'American (Traditional)']",103.84604,1.37272,ANG MO KIO,ANG MO KIO TOWN CENTRE
Warehouse Bistro,3E River Valley Rd #01-02 Clarke Quay Block E Singapore 179024 Singapore,3.5,2,,"['Beer, Wine &amp; Spirits', 'American (Traditional)', 'Seafood Markets', 'French']",103.8464584,1.29055,SINGAPORE RIVER,CLARKE QUAY
The Dempsey Brasserie,7 Dempsey Road Singapore 249671 Singapore,3.0,3,,['American (Traditional)'],103.8089981,1.30475,TANGLIN,RIDOUT
Paprika &amp; Cumin,30 Victoria St #01-15/16 Singapore 187996 Singapore,3.5,2,,"['Bars', 'American (Traditional)']",103.8521532,1.294329548,DOWNTOWN CORE,CITY HALL
Texas Chicken,"211 Marina Way #01-02 Supertree Dining, Gardens By The Bay Singapore 018977 Singapore",3.5,2,$,"['Fast Food', 'American (Traditional)']",103.8551102,1.27908,DOWNTOWN CORE,CENTRAL SUBZONE
Life Is Beautiful Kitchen &amp; Bar,99 Duxton Road Singapore 089543 Singapore,3.5,2,$$$,['American (Traditional)'],103.8431702,1.27959,OUTRAM,CHINATOWN
180 Rotisserie,"12 Marina View Asia Square, Tower 2 Singapore 018961 Singapore",3.5,2,,"['American (Traditional)', 'Food Court']",103.8512726,1.2783321,DOWNTOWN CORE,CENTRAL SUBZONE
Kenny Rogers Roasters,1 Kim Seng Road #01-06 Great World City Singapore 237994 Singapore,3.0,4,$$,"['American (Traditional)', 'Barbeque']",103.8319665,1.2936326,SINGAPORE RIVER,ROBERTSON QUAY
Vivo American Pizza &amp; Panini,Eu Tong Sen Street #B1-20 Singapore Singapore,3.0,3,,['American (Traditional)'],103.8424225,1.2832201,OUTRAM,PEOPLE'S PARK
The Mind Cafe,60a Prinsep St Singapore 188664 Singapore,3.5,2,$$,['American (Traditional)'],103.8499908,1.30002,ROCHOR,BENCOOLEN
Hogs Bar &amp; Restaurant,382 Joo Chiat Road Singapore 427622 Singapore,3.5,2,,"['Sports Bars', 'American (Traditional)']",103.9031982,1.30782,MARINE PARADE,KATONG
Hob Nob Cafe Bar,545 Orchard Road #03-18 Far East Shopping Centre Singapore 238882 Singapore,3.5,2,,"['American (Traditional)', 'Seafood']",103.830236,1.307045,ORCHARD,BOULEVARD
Cedele,290 Orchard Road Paragon #01-20A Singapore 238859 Singapore,3.5,2,$$,"['American (Traditional)', 'Desserts', 'Coffee &amp; Tea']",103.83564,1.303408138,ORCHARD,BOULEVARD
73@Hillcrest,73 Hillcrest Rd Singapore 288946 Singapore,3.0,2,,"['American (Traditional)', 'Bistros', 'Breakfast &amp; Brunch']",103.8075356,1.331508398,BUKIT TIMAH,HILLCREST
PODI The Food Orchard,"Paragon, 290 Orchard Road #01- 20A, Orchard Singapore 238859 Singapore",2.5,3,$$$,['American (Traditional)'],103.8358307,1.30389,ORCHARD,BOULEVARD
The Coffee Bean &amp; Tea Leaf,201 Victoria Street #01-06 Bugis Plus Singapore 188067 Singapore,3.0,3,,['American (Traditional)'],103.8541412,1.29971,ROCHOR,VICTORIA
Harry's,17/19 Cuppage Road Cuppage Terrace Singapore Singapore,3.0,2,$$,"['Bars', 'American (Traditional)']",103.8401794,1.3018,ORCHARD,SOMERSET
Erwin's Gastrobar,"8A Marina Blvd, Marina Bay Link Mall Unit GP #01-01 Singapore 018982 Singapore",4.0,1,,"['American (Traditional)', 'Pubs']",103.8541107,1.28017,DOWNTOWN CORE,CENTRAL SUBZONE
Kenny Rogers Roasters,"Marina Square 6 Raffles Boulevard, #02-138A Singapore 039594 Singapore",2.5,3,,['American (Traditional)'],103.8578033,1.2912199,DOWNTOWN CORE,MARINA CENTRE
The Cafe Cartel,6 Raffles Boulevard #01-208 Marina Square Singapore 039594 Singapore,2.5,3,$$,['American (Traditional)'],103.8578033,1.2912199,DOWNTOWN CORE,MARINA CENTRE
Botak Jones,121 Somerset Road Singapore 238166 Singapore,3.0,2,,['American (Traditional)'],103.8366165,1.30048,ORCHARD,SOMERSET
Barbacoa,"180 Kitchener Road, City Square Mall #02-39/40 Singapore 208539 Singapore",3.0,2,,"['American (Traditional)', 'Italian']",103.8566132,1.31133,KALLANG,LAVENDER
Charlie Brown Cafe,8 Grange Rd #04-01 Singapore 239695 Singapore,4.0,1,,"['Cafes', 'American (Traditional)']",103.8364029,1.301563071,ORCHARD,SOMERSET
The Sapling,"20 Lengkok Bahru #01-17, Academy Block Singapore Singapore",4.0,1,,"['Desserts', 'Fast Food', 'American (Traditional)']",103.8145965,1.286383333,BUKIT MERAH,REDHILL
Morganfield's,"1 Harbourfront Walk #01-51A, Vivocity Singapore 098585 Singapore",4.0,1,$$,"['American (Traditional)', 'Gastropubs', 'Diners']",103.82207,1.26431,BUKIT MERAH,MARITIME SQUARE
The 2nd Floor,American Club 10 Claymore Hill Singapore 229573 Singapore,4.0,1,,['American (Traditional)'],103.8319778,1.30873,NEWTON,ORANGE GROVE
Starbucks,01-05 The Cathay Singapore 229233 Singapore,2.5,2,$,"['American (Traditional)', 'Coffee &amp; Tea']",103.8472977,1.29924,MUSEUM,DHOBY GHAUT
Java+,"320 Orchard Rd Hotel Lobby, Marriot Hotel Singapore Singapore 238865 Singapore",3.0,2,,"['Bars', 'American (Traditional)']",103.83275,1.3051,ORCHARD,BOULEVARD
Billy Bombers American Diner,6 Eu Tong Sen St #02-78 The Central Singapore 059817 Singapore,4.0,1,,['American (Traditional)'],103.8465576,1.28886,SINGAPORE RIVER,CLARKE QUAY
Mc Donald's,Orchard Road 583 Singapore 238884 Singapore,4.0,1,,['American (Traditional)'],103.829,1.30633,ORCHARD,BOULEVARD
Slappy Cakes,26 Sentosa Gateway #1-29 Southern Islands 098138 Singapore,4.0,5,$$,"['American (Traditional)', 'Breakfast &amp; Brunch']",103.8229218,1.2550499,SOUTHERN ISLANDS,SENTOSA
Botak Jones,Blk 211 Toa Payoh Lorong 8 Singapore 310211 Singapore,4.0,1,,['American (Traditional)'],103.8535385,1.34007,TOA PAYOH,LORONG 8 TOA PAYOH
Meat N Malts,30 Tai Seng St #01-07 Singapore 534013 Singapore,4.0,1,,"['Bars', 'American (Traditional)']",103.8895299,1.33432,HOUGANG,TAI SENG
Santa Fe All American Tex-Mex Grill,31 Marina Coastal Dr Singapore 018988 Singapore,4.0,1,,['American (Traditional)'],103.8633728,1.2713,STRAITS VIEW,STRAITS VIEW
Popeye's Louisiana Kitchen,229 Victoria Street Bugis Village Singapore 188023 Singapore,2.5,3,$,"['American (Traditional)', 'Fast Food']",103.854933,1.300029,ROCHOR,VICTORIA
Char Grill Bar,25 Lor Liput Singapore 277735 Singapore,4.0,1,,['American (Traditional)'],103.7947,1.31031,QUEENSTOWN,HOLLAND DRIVE
Toby's The Dessert Asylum Cafe,80 Marine Parade Rd #02-68/70 Parkway Parade Singapore 449269 Singapore,3.0,2,,"['American (Traditional)', 'Cafes']",103.90517,1.30107,MARINE PARADE,MARINE PARADE
Botak Jones,233 Bukit Batok East Ave 5 Singapore 650233 Singapore,3.0,2,,['American (Traditional)'],103.7553406,1.34874,BUKIT BATOK,BUKIT BATOK EAST
Huggs Cafe,8 Shenton Way Singapore 068811 Singapore,2.5,2,,['American (Traditional)'],103.8471985,1.27575,DOWNTOWN CORE,TANJONG PAGAR
Shakey's Pizza,177 River Valley Rd #02-32 Liang Court Singapore 179030 Singapore,3.0,2,,"['Pizza', 'American (Traditional)']",103.8448938,1.2917766,SINGAPORE RIVER,CLARKE QUAY
Wine Bos,787 North Bridge Road Singapore 198755 Singapore,2.0,4,,"['Wine Bars', 'American (Traditional)']",103.8599167,1.3039401,ROCHOR,KAMPONG GLAM
Charly T's,112 East Coast Road #03-15 I12 Katong Singapore 428835 Singapore,2.5,2,,['American (Traditional)'],103.9048309,1.30548,MARINE PARADE,MARINE PARADE
Wingstop,311 New Upper Changi Road Bedok Mall #B1-53 Bedok 467360 Singapore,3.5,6,$,"['American (Traditional)', 'Chicken Wings']",103.9392918,1.3250556,BEDOK,BEDOK SOUTH
The Coffee Bean &amp; Tea Leaf,2 Tampines Central 5 #01-14/15 Century Square Singapore 529509 Singapore,2.5,3,$,"['Cafes', 'Coffee &amp; Tea', 'American (Traditional)']",103.9437714,1.35236,TAMPINES,TAMPINES EAST
Char-Grill Bar,80 Marine Parade Central #01-77 Singapore 440080 Singapore,2.0,3,$,"['American (Traditional)', 'Food Stands']",103.9077625,1.301889172,MARINE PARADE,MARINE PARADE
North Border Bar &amp; Grill,2 Rochester Park Singapore 139213 Singapore,2.0,3,$$,['American (Traditional)'],103.787529,1.3046,QUEENSTOWN,ONE NORTH
Porky Pork,6 Eu Tong Sen Street #B1-11/12 The Central Singapore 059817 Singapore,1.5,3,,['American (Traditional)'],103.846699,1.288682,SINGAPORE RIVER,CLARKE QUAY
Serve the People,376 East Coast Rd Singapore 428984 Singapore,5.0,2,$$,"['Pizza', 'Burgers', 'American (Traditional)']",103.91123,1.30853,BEDOK,FRANKEL
Swensen's,180 Kitchener Road #03-37/38 Singapore 208539 Singapore,3.0,1,,"['American (Traditional)', 'Desserts', 'Breakfast &amp; Brunch']",103.8566132,1.31133,KALLANG,LAVENDER
Western Stall MEGAbites Cafe,"Singapore Institute of Management HQ, 461 Clementi Road Block A, Level 3 Singapore 599491 Singapore",2.5,2,$,"['Modern European', 'Italian', 'American (Traditional)']",103.7763138,1.32977,BUKIT TIMAH,ANAK BUKIT
Ben's Western Bar,"Block 95 Toa Payoh Lor 4, Toa Payoh Singapore 310095 Singapore",3.0,1,,"['American (Traditional)', 'Asian Fusion']",103.8489838,1.33889,TOA PAYOH,BRADDELL
Blue Magnolia,439 Macpherson Rd Singapore 368150 Singapore,3.0,1,,['American (Traditional)'],103.8810196,1.33182,TOA PAYOH,JOO SENG
Starbucks,"6 Raffles Boulevard, Marina Square #02-168 Singapore 039594 Singapore",3.0,1,$,"['Coffee &amp; Tea', 'American (Traditional)']",103.8557044,1.291549168,DOWNTOWN CORE,MARINA CENTRE
Wheels and Wieners,25A Perak Road Singapore 208136 Singapore,3.0,1,,['American (Traditional)'],103.8540573,1.30553,ROCHOR,LITTLE INDIA
Georges Beach Club,1010 East Coast Parkway Carpark C3@ ECP Singapore 449892 Singapore,3.0,1,,"['Beach Bars', 'American (Traditional)']",103.91822,1.30251,MARINE PARADE,EAST COAST
Pizza Hut,190 Lorong 6 Toa Payoh Singapore 310190 Singapore,2.0,2,$$,['American (Traditional)'],103.8485718,1.33321,TOA PAYOH,TOA PAYOH CENTRAL
Swensen's,"9 Bishan Pl #01-39, Junction 8 Singapore 579837 Singapore",3.0,1,$$,"['American (Traditional)', 'Desserts', 'Burgers']",103.8485378,1.350990843,BISHAN,BISHAN EAST
El Jefe Corner,"1 Cantonment Rd #01-01 Stall 5, Pinnacle Singapore 080001 Singapore",3.0,1,,"['Steakhouses', 'American (Traditional)']",103.8417342,1.277182607,OUTRAM,CHINATOWN
New York New York,"1 Raffles Link, Citylink Mall #b1-47a Singapore 039393 Singapore",3.0,1,,['American (Traditional)'],103.8557663,1.29222,DOWNTOWN CORE,MARINA CENTRE
ta.ke Cafe,Studio M Hotel No. 3 Nanson Road Singapore 238910 Singapore,3.0,1,$$,"['American (Traditional)', 'Coffee &amp; Tea', 'Breakfast &amp; Brunch']",103.8391266,1.29092,SINGAPORE RIVER,ROBERTSON QUAY
toTTful cafe,226 E Coast Rd Singapore 428923 Singapore,3.0,1,,['American (Traditional)'],103.90751,1.30753,MARINE PARADE,KATONG
